Episode 1/500 | Total reward: -200.0
Episode 2/500 | Total reward: -200.0
Episode 3/500 | Total reward: -200.0
Episode 4/500 | Total reward: -200.0
Episode 5/500 | Total reward: -200.0
Episode 6/500 | Total reward: -200.0
Episode 7/500 | Total reward: -200.0
Episode 8/500 | Total reward: -200.0
Episode 9/500 | Total reward: -200.0
Episode 10/500 | Total reward: -200.0
Episode 11/500 | Total reward: -200.0
Episode 12/500 | Total reward: -200.0
Episode 13/500 | Total reward: -200.0
Episode 14/500 | Total reward: -200.0
Episode 15/500 | Total reward: -200.0
Episode 16/500 | Total reward: -200.0
Episode 17/500 | Total reward: -200.0
Episode 18/500 | Total reward: -200.0
Episode 19/500 | Total reward: -200.0
Episode 20/500 | Total reward: -200.0
Episode 21/500 | Total reward: -200.0
Episode 22/500 | Total reward: -200.0
Episode 23/500 | Total reward: -200.0
Episode 24/500 | Total reward: -200.0
Episode 25/500 | Total reward: -200.0
Episode 26/500 | Total reward: -200.0
Episode 27/500 | Total reward: -200.0
Episode 28/500 | Total reward: -200.0
Episode 29/500 | Total reward: -200.0
Episode 30/500 | Total reward: -200.0
Episode 31/500 | Total reward: -200.0
Episode 32/500 | Total reward: -200.0
Episode 33/500 | Total reward: -200.0
Episode 34/500 | Total reward: -200.0
Episode 35/500 | Total reward: -200.0
Episode 36/500 | Total reward: -200.0
Episode 37/500 | Total reward: -200.0
Episode 38/500 | Total reward: -200.0
Episode 39/500 | Total reward: -200.0
Episode 40/500 | Total reward: -200.0
Episode 41/500 | Total reward: -200.0
Episode 42/500 | Total reward: -200.0
Episode 43/500 | Total reward: -200.0
Episode 44/500 | Total reward: -200.0
Episode 45/500 | Total reward: -200.0
Episode 46/500 | Total reward: -200.0
Episode 47/500 | Total reward: -200.0
Episode 48/500 | Total reward: -200.0
Episode 49/500 | Total reward: -200.0
Episode 50/500 | Total reward: -200.0
Episode 51/500 | Total reward: -200.0
Episode 52/500 | Total reward: -200.0
Episode 53/500 | Total reward: -200.0
Episode 54/500 | Total reward: -200.0
Episode 55/500 | Total reward: -200.0
Episode 56/500 | Total reward: -200.0
Episode 57/500 | Total reward: -200.0
Episode 58/500 | Total reward: -200.0
Episode 59/500 | Total reward: -200.0
Episode 60/500 | Total reward: -200.0
Episode 61/500 | Total reward: -200.0
Episode 62/500 | Total reward: -200.0
Episode 63/500 | Total reward: -200.0
Episode 64/500 | Total reward: -200.0
Episode 65/500 | Total reward: -200.0
Episode 66/500 | Total reward: -200.0
Episode 67/500 | Total reward: -200.0
Episode 68/500 | Total reward: -200.0
Episode 69/500 | Total reward: -200.0
Episode 70/500 | Total reward: -200.0
Episode 71/500 | Total reward: -200.0
Episode 72/500 | Total reward: -200.0
Episode 73/500 | Total reward: -200.0
Episode 74/500 | Total reward: -200.0
Episode 75/500 | Total reward: -200.0
Episode 76/500 | Total reward: -200.0
Episode 77/500 | Total reward: -200.0
Episode 78/500 | Total reward: -200.0
Episode 79/500 | Total reward: -200.0
Episode 80/500 | Total reward: -200.0
Episode 81/500 | Total reward: -200.0
Episode 82/500 | Total reward: -200.0
Episode 83/500 | Total reward: -200.0
Episode 84/500 | Total reward: -200.0
Episode 85/500 | Total reward: -200.0
Episode 86/500 | Total reward: -200.0
Episode 87/500 | Total reward: -200.0
Episode 88/500 | Total reward: -200.0
Episode 89/500 | Total reward: -200.0
Episode 90/500 | Total reward: -200.0
Episode 91/500 | Total reward: -200.0
Episode 92/500 | Total reward: -200.0
Episode 93/500 | Total reward: -200.0
Episode 94/500 | Total reward: -200.0
Episode 95/500 | Total reward: -200.0
Episode 96/500 | Total reward: -200.0
Episode 97/500 | Total reward: -200.0
Episode 98/500 | Total reward: -200.0
Episode 99/500 | Total reward: -200.0
Episode 100/500 | Total reward: -200.0
Episode 101/500 | Total reward: -200.0
Episode 102/500 | Total reward: -200.0
Episode 103/500 | Total reward: -200.0
Episode 104/500 | Total reward: -200.0
Episode 105/500 | Total reward: -200.0
Episode 106/500 | Total reward: -200.0
Episode 107/500 | Total reward: -200.0
Episode 108/500 | Total reward: -200.0
Episode 109/500 | Total reward: -200.0
Episode 110/500 | Total reward: -200.0
Episode 111/500 | Total reward: -200.0
Episode 112/500 | Total reward: -200.0
Episode 113/500 | Total reward: -200.0
Episode 114/500 | Total reward: -200.0
Episode 115/500 | Total reward: -200.0
Episode 116/500 | Total reward: -200.0
Episode 117/500 | Total reward: -200.0
Episode 118/500 | Total reward: -200.0
Episode 119/500 | Total reward: -200.0
Episode 120/500 | Total reward: -200.0
Episode 121/500 | Total reward: -200.0
Episode 122/500 | Total reward: -200.0
Episode 123/500 | Total reward: -200.0
Episode 124/500 | Total reward: -200.0
Episode 125/500 | Total reward: -200.0
Episode 126/500 | Total reward: -200.0
Episode 127/500 | Total reward: -200.0
Episode 128/500 | Total reward: -200.0
Episode 129/500 | Total reward: -200.0
Episode 130/500 | Total reward: -200.0
Episode 131/500 | Total reward: -200.0
Episode 132/500 | Total reward: -200.0
Episode 133/500 | Total reward: -200.0
Episode 134/500 | Total reward: -200.0
Episode 135/500 | Total reward: -168.0
Episode 136/500 | Total reward: -163.0
Episode 137/500 | Total reward: -165.0
Episode 138/500 | Total reward: -127.0
Episode 139/500 | Total reward: -160.0
Episode 140/500 | Total reward: -158.0
Episode 141/500 | Total reward: -166.0
Episode 142/500 | Total reward: -200.0
Episode 143/500 | Total reward: -200.0
Episode 144/500 | Total reward: -139.0
Episode 145/500 | Total reward: -127.0
Episode 146/500 | Total reward: -152.0
Episode 147/500 | Total reward: -155.0
Episode 148/500 | Total reward: -122.0
Episode 149/500 | Total reward: -164.0
Episode 150/500 | Total reward: -168.0
Episode 151/500 | Total reward: -120.0
Episode 152/500 | Total reward: -155.0
Episode 153/500 | Total reward: -163.0
Episode 154/500 | Total reward: -134.0
Episode 155/500 | Total reward: -160.0
Episode 156/500 | Total reward: -128.0
Episode 157/500 | Total reward: -155.0
Episode 158/500 | Total reward: -131.0
Episode 159/500 | Total reward: -163.0
Episode 160/500 | Total reward: -200.0
Episode 161/500 | Total reward: -130.0
Episode 162/500 | Total reward: -154.0
Episode 163/500 | Total reward: -159.0
Episode 164/500 | Total reward: -126.0
Episode 165/500 | Total reward: -164.0
Episode 166/500 | Total reward: -132.0
Episode 167/500 | Total reward: -157.0
Episode 168/500 | Total reward: -200.0
Episode 169/500 | Total reward: -126.0
Episode 170/500 | Total reward: -159.0
Episode 171/500 | Total reward: -155.0
Episode 172/500 | Total reward: -200.0
Episode 173/500 | Total reward: -121.0
Episode 174/500 | Total reward: -158.0
Episode 175/500 | Total reward: -129.0
Episode 176/500 | Total reward: -167.0
Episode 177/500 | Total reward: -165.0
Episode 178/500 | Total reward: -131.0
Episode 179/500 | Total reward: -163.0
Episode 180/500 | Total reward: -200.0
Episode 181/500 | Total reward: -129.0
Episode 182/500 | Total reward: -155.0
Episode 183/500 | Total reward: -134.0
Episode 184/500 | Total reward: -200.0
Episode 185/500 | Total reward: -200.0
Episode 186/500 | Total reward: -151.0
Episode 187/500 | Total reward: -165.0
Episode 188/500 | Total reward: -124.0
Episode 189/500 | Total reward: -165.0
Episode 190/500 | Total reward: -120.0
Episode 191/500 | Total reward: -156.0
Episode 192/500 | Total reward: -164.0
Episode 193/500 | Total reward: -120.0
Episode 194/500 | Total reward: -160.0
Episode 195/500 | Total reward: -158.0
Episode 196/500 | Total reward: -169.0
Episode 197/500 | Total reward: -118.0
Episode 198/500 | Total reward: -159.0
Episode 199/500 | Total reward: -179.0
Episode 200/500 | Total reward: -200.0
Episode 201/500 | Total reward: -200.0
Episode 202/500 | Total reward: -150.0
Episode 203/500 | Total reward: -118.0
Episode 204/500 | Total reward: -163.0
Episode 205/500 | Total reward: -153.0
Episode 206/500 | Total reward: -164.0
Episode 207/500 | Total reward: -121.0
Episode 208/500 | Total reward: -159.0
Episode 209/500 | Total reward: -200.0
Episode 210/500 | Total reward: -200.0
Episode 211/500 | Total reward: -125.0
Episode 212/500 | Total reward: -163.0
Episode 213/500 | Total reward: -160.0
Episode 214/500 | Total reward: -200.0
Episode 215/500 | Total reward: -120.0
Episode 216/500 | Total reward: -170.0
Episode 217/500 | Total reward: -165.0
Episode 218/500 | Total reward: -200.0
Episode 219/500 | Total reward: -166.0
Episode 220/500 | Total reward: -200.0
Episode 221/500 | Total reward: -158.0
Episode 222/500 | Total reward: -166.0
Episode 223/500 | Total reward: -133.0
Episode 224/500 | Total reward: -200.0
Episode 225/500 | Total reward: -123.0
Episode 226/500 | Total reward: -160.0
Episode 227/500 | Total reward: -200.0
Episode 228/500 | Total reward: -200.0
Episode 229/500 | Total reward: -200.0
Episode 230/500 | Total reward: -153.0
Episode 231/500 | Total reward: -200.0
Episode 232/500 | Total reward: -200.0
Episode 233/500 | Total reward: -200.0
Episode 234/500 | Total reward: -200.0
Episode 235/500 | Total reward: -200.0
Episode 236/500 | Total reward: -200.0
Episode 237/500 | Total reward: -200.0
Episode 238/500 | Total reward: -158.0
Episode 239/500 | Total reward: -200.0
Episode 240/500 | Total reward: -200.0
Episode 241/500 | Total reward: -200.0
Episode 242/500 | Total reward: -155.0
Episode 243/500 | Total reward: -200.0
Episode 244/500 | Total reward: -200.0
Episode 245/500 | Total reward: -200.0
Episode 246/500 | Total reward: -134.0
Episode 247/500 | Total reward: -200.0
Episode 248/500 | Total reward: -150.0
Episode 249/500 | Total reward: -160.0
Episode 250/500 | Total reward: -200.0
Episode 251/500 | Total reward: -200.0
Episode 252/500 | Total reward: -200.0
Episode 253/500 | Total reward: -151.0
Episode 254/500 | Total reward: -157.0
Episode 255/500 | Total reward: -200.0
Episode 256/500 | Total reward: -200.0
Episode 257/500 | Total reward: -200.0
Episode 258/500 | Total reward: -200.0
Episode 259/500 | Total reward: -166.0
Episode 260/500 | Total reward: -200.0
Episode 261/500 | Total reward: -200.0
Episode 262/500 | Total reward: -200.0
Episode 263/500 | Total reward: -162.0
Episode 264/500 | Total reward: -200.0
Episode 265/500 | Total reward: -200.0
Episode 266/500 | Total reward: -200.0
Episode 267/500 | Total reward: -200.0
Episode 268/500 | Total reward: -200.0
Episode 269/500 | Total reward: -200.0
Episode 270/500 | Total reward: -200.0
Episode 271/500 | Total reward: -200.0
Episode 272/500 | Total reward: -200.0
Episode 273/500 | Total reward: -200.0
Episode 274/500 | Total reward: -200.0
Episode 275/500 | Total reward: -200.0
Episode 276/500 | Total reward: -200.0
Episode 277/500 | Total reward: -200.0
Episode 278/500 | Total reward: -200.0
Episode 279/500 | Total reward: -200.0
Episode 280/500 | Total reward: -200.0
Episode 281/500 | Total reward: -200.0
Episode 282/500 | Total reward: -200.0
Episode 283/500 | Total reward: -200.0
Episode 284/500 | Total reward: -200.0
Episode 285/500 | Total reward: -200.0
Episode 286/500 | Total reward: -200.0
Episode 287/500 | Total reward: -200.0
Episode 288/500 | Total reward: -200.0
Episode 289/500 | Total reward: -159.0
Episode 290/500 | Total reward: -200.0
Episode 291/500 | Total reward: -200.0
Episode 292/500 | Total reward: -200.0
Episode 293/500 | Total reward: -200.0
Episode 294/500 | Total reward: -200.0
Episode 295/500 | Total reward: -200.0
