Episode 1/2000 | Total reward: -200.0
Episode 2/2000 | Total reward: -200.0
Episode 3/2000 | Total reward: -200.0
Episode 4/2000 | Total reward: -200.0
Episode 5/2000 | Total reward: -200.0
Episode 6/2000 | Total reward: -200.0
Episode 7/2000 | Total reward: -200.0
Episode 8/2000 | Total reward: -200.0
Episode 9/2000 | Total reward: -200.0
Episode 10/2000 | Total reward: -200.0
Episode 11/2000 | Total reward: -200.0
Episode 12/2000 | Total reward: -200.0
Episode 13/2000 | Total reward: -200.0
Episode 14/2000 | Total reward: -200.0
Episode 15/2000 | Total reward: -200.0
Episode 16/2000 | Total reward: -200.0
Episode 17/2000 | Total reward: -200.0
Episode 18/2000 | Total reward: -200.0
Episode 19/2000 | Total reward: -200.0
Episode 20/2000 | Total reward: -200.0
Episode 21/2000 | Total reward: -200.0
Episode 22/2000 | Total reward: -200.0
Episode 23/2000 | Total reward: -200.0
Episode 24/2000 | Total reward: -200.0
Episode 25/2000 | Total reward: -200.0
Episode 26/2000 | Total reward: -200.0
Episode 27/2000 | Total reward: -200.0
Episode 28/2000 | Total reward: -200.0
Episode 29/2000 | Total reward: -200.0
Episode 30/2000 | Total reward: -200.0
Episode 31/2000 | Total reward: -200.0
Episode 32/2000 | Total reward: -200.0
Episode 33/2000 | Total reward: -200.0
Episode 34/2000 | Total reward: -200.0
Episode 35/2000 | Total reward: -200.0
Episode 36/2000 | Total reward: -200.0
Episode 37/2000 | Total reward: -200.0
Episode 38/2000 | Total reward: -200.0
Episode 39/2000 | Total reward: -200.0
Episode 40/2000 | Total reward: -200.0
Episode 41/2000 | Total reward: -200.0
Episode 42/2000 | Total reward: -200.0
Episode 43/2000 | Total reward: -200.0
Episode 44/2000 | Total reward: -200.0
Episode 45/2000 | Total reward: -200.0
Episode 46/2000 | Total reward: -200.0
Episode 47/2000 | Total reward: -200.0
Episode 48/2000 | Total reward: -200.0
Episode 49/2000 | Total reward: -200.0
Episode 50/2000 | Total reward: -200.0
Episode 51/2000 | Total reward: -200.0
Episode 52/2000 | Total reward: -200.0
Episode 53/2000 | Total reward: -200.0
Episode 54/2000 | Total reward: -200.0
Episode 55/2000 | Total reward: -200.0
Episode 56/2000 | Total reward: -200.0
Episode 57/2000 | Total reward: -200.0
Episode 58/2000 | Total reward: -200.0
Episode 59/2000 | Total reward: -200.0
Episode 60/2000 | Total reward: -200.0
Episode 61/2000 | Total reward: -200.0
Episode 62/2000 | Total reward: -200.0
Episode 63/2000 | Total reward: -200.0
Episode 64/2000 | Total reward: -200.0
Episode 65/2000 | Total reward: -200.0
Episode 66/2000 | Total reward: -200.0
Episode 67/2000 | Total reward: -200.0
Episode 68/2000 | Total reward: -200.0
Episode 69/2000 | Total reward: -200.0
Episode 70/2000 | Total reward: -200.0
Episode 71/2000 | Total reward: -200.0
Episode 72/2000 | Total reward: -200.0
Episode 73/2000 | Total reward: -200.0
Episode 74/2000 | Total reward: -200.0
Episode 75/2000 | Total reward: -200.0
Episode 76/2000 | Total reward: -200.0
Episode 77/2000 | Total reward: -200.0
Episode 78/2000 | Total reward: -200.0
Episode 79/2000 | Total reward: -200.0
Episode 80/2000 | Total reward: -200.0
Episode 81/2000 | Total reward: -200.0
Episode 82/2000 | Total reward: -200.0
Episode 83/2000 | Total reward: -200.0
Episode 84/2000 | Total reward: -200.0
Episode 85/2000 | Total reward: -200.0
Episode 86/2000 | Total reward: -200.0
Episode 87/2000 | Total reward: -200.0
Episode 88/2000 | Total reward: -200.0
Episode 89/2000 | Total reward: -200.0
Episode 90/2000 | Total reward: -200.0
Episode 91/2000 | Total reward: -200.0
Episode 92/2000 | Total reward: -200.0
Episode 93/2000 | Total reward: -200.0
Episode 94/2000 | Total reward: -200.0
Episode 95/2000 | Total reward: -200.0
Episode 96/2000 | Total reward: -200.0
Episode 97/2000 | Total reward: -200.0
Episode 98/2000 | Total reward: -200.0
Episode 99/2000 | Total reward: -200.0
Episode 100/2000 | Total reward: -200.0
Episode 101/2000 | Total reward: -200.0
Episode 102/2000 | Total reward: -200.0
Episode 103/2000 | Total reward: -200.0
Episode 104/2000 | Total reward: -200.0
Episode 105/2000 | Total reward: -200.0
Episode 106/2000 | Total reward: -200.0
Episode 107/2000 | Total reward: -200.0
Episode 108/2000 | Total reward: -200.0
Episode 109/2000 | Total reward: -200.0
Episode 110/2000 | Total reward: -200.0
Episode 111/2000 | Total reward: -200.0
Episode 112/2000 | Total reward: -200.0
Episode 113/2000 | Total reward: -200.0
Episode 114/2000 | Total reward: -200.0
Episode 115/2000 | Total reward: -200.0
Episode 116/2000 | Total reward: -200.0
Episode 117/2000 | Total reward: -200.0
Episode 118/2000 | Total reward: -200.0
Episode 119/2000 | Total reward: -200.0
Episode 120/2000 | Total reward: -200.0
Episode 121/2000 | Total reward: -200.0
Episode 122/2000 | Total reward: -200.0
Episode 123/2000 | Total reward: -200.0
Episode 124/2000 | Total reward: -200.0
Episode 125/2000 | Total reward: -200.0
Episode 126/2000 | Total reward: -200.0
Episode 127/2000 | Total reward: -200.0
Episode 128/2000 | Total reward: -200.0
Episode 129/2000 | Total reward: -200.0
Episode 130/2000 | Total reward: -200.0
Episode 131/2000 | Total reward: -200.0
Episode 132/2000 | Total reward: -200.0
Episode 133/2000 | Total reward: -200.0
Episode 134/2000 | Total reward: -200.0
Episode 135/2000 | Total reward: -200.0
Episode 136/2000 | Total reward: -200.0
Episode 137/2000 | Total reward: -200.0
Episode 138/2000 | Total reward: -200.0
Episode 139/2000 | Total reward: -200.0
Episode 140/2000 | Total reward: -200.0
Episode 141/2000 | Total reward: -200.0
Episode 142/2000 | Total reward: -200.0
Episode 143/2000 | Total reward: -200.0
Episode 144/2000 | Total reward: -200.0
Episode 145/2000 | Total reward: -200.0
Episode 146/2000 | Total reward: -200.0
Episode 147/2000 | Total reward: -200.0
Episode 148/2000 | Total reward: -200.0
Episode 149/2000 | Total reward: -200.0
Episode 150/2000 | Total reward: -200.0
Episode 151/2000 | Total reward: -200.0
Episode 152/2000 | Total reward: -200.0
Episode 153/2000 | Total reward: -200.0
Episode 154/2000 | Total reward: -200.0
Episode 155/2000 | Total reward: -200.0
Episode 156/2000 | Total reward: -200.0
Episode 157/2000 | Total reward: -200.0
Episode 158/2000 | Total reward: -200.0
Episode 159/2000 | Total reward: -200.0
Episode 160/2000 | Total reward: -200.0
Episode 161/2000 | Total reward: -200.0
Episode 162/2000 | Total reward: -200.0
Episode 163/2000 | Total reward: -200.0
Episode 164/2000 | Total reward: -200.0
Episode 165/2000 | Total reward: -200.0
Episode 166/2000 | Total reward: -200.0
Episode 167/2000 | Total reward: -200.0
Episode 168/2000 | Total reward: -200.0
Episode 169/2000 | Total reward: -200.0
Episode 170/2000 | Total reward: -200.0
Episode 171/2000 | Total reward: -200.0
Episode 172/2000 | Total reward: -200.0
Episode 173/2000 | Total reward: -200.0
Episode 174/2000 | Total reward: -200.0
Episode 175/2000 | Total reward: -200.0
Episode 176/2000 | Total reward: -200.0
Episode 177/2000 | Total reward: -200.0
Episode 178/2000 | Total reward: -200.0
Episode 179/2000 | Total reward: -200.0
Episode 180/2000 | Total reward: -200.0
Episode 181/2000 | Total reward: -200.0
Episode 182/2000 | Total reward: -200.0
Episode 183/2000 | Total reward: -200.0
Episode 184/2000 | Total reward: -200.0
Episode 185/2000 | Total reward: -200.0
Episode 186/2000 | Total reward: -200.0
Episode 187/2000 | Total reward: -200.0
Episode 188/2000 | Total reward: -200.0
Episode 189/2000 | Total reward: -200.0
Episode 190/2000 | Total reward: -200.0
Episode 191/2000 | Total reward: -200.0
Episode 192/2000 | Total reward: -200.0
Episode 193/2000 | Total reward: -200.0
Episode 194/2000 | Total reward: -200.0
Episode 195/2000 | Total reward: -200.0
Episode 196/2000 | Total reward: -200.0
Episode 197/2000 | Total reward: -200.0
Episode 198/2000 | Total reward: -200.0
Episode 199/2000 | Total reward: -200.0
Episode 200/2000 | Total reward: -200.0
Episode 201/2000 | Total reward: -200.0
Episode 202/2000 | Total reward: -200.0
Episode 203/2000 | Total reward: -200.0
Episode 204/2000 | Total reward: -200.0
Episode 205/2000 | Total reward: -200.0
Episode 206/2000 | Total reward: -200.0
Episode 207/2000 | Total reward: -200.0
Episode 208/2000 | Total reward: -200.0
Episode 209/2000 | Total reward: -200.0
Episode 210/2000 | Total reward: -200.0
Episode 211/2000 | Total reward: -200.0
Episode 212/2000 | Total reward: -200.0
Episode 213/2000 | Total reward: -200.0
Episode 214/2000 | Total reward: -200.0
Episode 215/2000 | Total reward: -200.0
Episode 216/2000 | Total reward: -200.0
Episode 217/2000 | Total reward: -200.0
Episode 218/2000 | Total reward: -200.0
Episode 219/2000 | Total reward: -200.0
Episode 220/2000 | Total reward: -200.0
Episode 221/2000 | Total reward: -200.0
Episode 222/2000 | Total reward: -200.0
Episode 223/2000 | Total reward: -200.0
Episode 224/2000 | Total reward: -200.0
Episode 225/2000 | Total reward: -200.0
Episode 226/2000 | Total reward: -200.0
Episode 227/2000 | Total reward: -200.0
Episode 228/2000 | Total reward: -200.0
Episode 229/2000 | Total reward: -200.0
Episode 230/2000 | Total reward: -200.0
Episode 231/2000 | Total reward: -200.0
Episode 232/2000 | Total reward: -200.0
Episode 233/2000 | Total reward: -200.0
Episode 234/2000 | Total reward: -200.0
Episode 235/2000 | Total reward: -200.0
Episode 236/2000 | Total reward: -200.0
Episode 237/2000 | Total reward: -200.0
Episode 238/2000 | Total reward: -200.0
Episode 239/2000 | Total reward: -200.0
