Episode 1/1000 | Total reward: -200.0
Episode 2/1000 | Total reward: -200.0
Episode 3/1000 | Total reward: -200.0
Episode 4/1000 | Total reward: -200.0
Episode 5/1000 | Total reward: -200.0
Episode 6/1000 | Total reward: -200.0
Episode 7/1000 | Total reward: -200.0
Episode 8/1000 | Total reward: -200.0
Episode 9/1000 | Total reward: -200.0
Episode 10/1000 | Total reward: -200.0
Episode 11/1000 | Total reward: -200.0
Episode 12/1000 | Total reward: -200.0
Episode 13/1000 | Total reward: -200.0
Episode 14/1000 | Total reward: -200.0
Episode 15/1000 | Total reward: -200.0
Episode 16/1000 | Total reward: -200.0
Episode 17/1000 | Total reward: -200.0
Episode 18/1000 | Total reward: -200.0
Episode 19/1000 | Total reward: -200.0
Episode 20/1000 | Total reward: -200.0
Episode 21/1000 | Total reward: -200.0
Episode 22/1000 | Total reward: -200.0
Episode 23/1000 | Total reward: -200.0
Episode 24/1000 | Total reward: -200.0
Episode 25/1000 | Total reward: -200.0
Episode 26/1000 | Total reward: -200.0
Episode 27/1000 | Total reward: -200.0
Episode 28/1000 | Total reward: -200.0
Episode 29/1000 | Total reward: -200.0
Episode 30/1000 | Total reward: -200.0
Episode 31/1000 | Total reward: -200.0
Episode 32/1000 | Total reward: -200.0
Episode 33/1000 | Total reward: -200.0
Episode 34/1000 | Total reward: -200.0
Episode 35/1000 | Total reward: -200.0
Episode 36/1000 | Total reward: -200.0
Episode 37/1000 | Total reward: -200.0
Episode 38/1000 | Total reward: -200.0
Episode 39/1000 | Total reward: -200.0
Episode 40/1000 | Total reward: -200.0
Episode 41/1000 | Total reward: -200.0
Episode 42/1000 | Total reward: -200.0
Episode 43/1000 | Total reward: -200.0
Episode 44/1000 | Total reward: -200.0
Episode 45/1000 | Total reward: -200.0
Episode 46/1000 | Total reward: -200.0
Episode 47/1000 | Total reward: -200.0
Episode 48/1000 | Total reward: -200.0
Episode 49/1000 | Total reward: -200.0
Episode 50/1000 | Total reward: -200.0
